track_name,artist_name,played_at
Great Is Thy Faithfulness,David Nevue,2025-02-10T13:43:05.681Z
Love (Me Na Yi Daka so Ni Haka),kaestrings,2025-02-10T13:48:00.603Z
With Me,kaestrings,2025-02-10T13:51:51.142Z
Desire (Soaking),kaestrings,2025-02-10T13:56:19.421Z
Overkill,RIOT,2025-02-11T06:36:34.885Z
There Is Prophecy over Me,1Spirit & Theophilus Sunday,2025-02-11T09:21:54.304Z
See How Far: Gratitude (Reflections),Victoria Orenze,2025-02-11T09:52:41.380Z
From The Start,Laufey,2025-02-11T10:35:43.842Z
Lovesick,Laufey,2025-02-11T10:39:29.686Z
The Nearness of You - Live at The Symphony,Laufey,2025-02-11T10:42:18.620Z
Like the Movies,Laufey,2025-02-11T10:45:01.824Z
I Wish You Love,Laufey,2025-02-11T10:47:36.919Z
Where or When,Laufey,2025-02-11T10:51:00.817Z
Everytime We Say Goodbye - Live at The Symphony,Laufey,2025-02-11T10:57:27.959Z
Fragile,Laufey,2025-02-11T11:01:29.434Z
Slow Down,Laufey,2025-02-11T11:03:55.155Z
No One Knows (with Laufey),Stephen Sanchez,2025-02-11T11:07:55.040Z
This Is How It Feels (with Laufey),d4vd,2025-02-11T11:12:39.385Z
Second Best,Laufey,2025-02-11T11:16:05.108Z
Let You Break My Heart Again,Laufey,2025-02-11T13:11:16.846Z
Teenage Dream,Katy Perry,2025-02-11T20:11:27.980Z
Lose Control,Teddy Swims,2025-02-12T05:46:18.008Z
The Prodigal,Josiah Queen,2025-02-12T05:50:11.320Z
Alone,Anendlessocean,2025-02-12T07:20:07.164Z
Faithful Is Our God,Hezekiah Walker,2025-02-12T07:27:50.383Z
Testament Of Love,Ugee Royalty,2025-02-12T07:38:49.624Z
Put Your Records On,Corinne Bailey Rae,2025-02-12T07:56:00.721Z
Wonderful - African Worship Medley/Live,Uche Agu,2025-02-12T07:58:46.955Z
Shekinah,Pastor Emmanuel Iren,2025-02-12T08:05:47.450Z
Elohim Adonai,David Dam,2025-02-12T08:17:18.799Z
Who Is on the Lord's Side,Dunsin Oyekan,2025-02-12T13:21:22.552Z
Clean Heart,Bryan & Katie Torwalt,2025-02-12T22:10:07.500Z
welcome,the King will come,2025-02-12T22:14:06.120Z
No Greater Love,Limoblaze,2025-02-12T22:17:47.262Z
GOD IS GOOD,Forrest Frank,2025-02-12T22:21:15.137Z
God Did,RUA YOUNG,2025-02-12T22:24:50.826Z
Hold Me Up,Terrian,2025-02-12T22:28:15.922Z
Pure Imagination - Violin Version,NIKOLAUS,2025-02-13T11:28:50.277Z
Like I Do (feat. Khloe Rose),Matthew Ifield,2025-02-13T11:32:23.892Z
Can't Help Falling in Love - Instrumental Version,The Nashville Wedding Band,2025-02-13T11:35:41.379Z
destiny (a match made out of sky),elishéva,2025-02-13T11:38:58.829Z
The Waltz of Hori,Wafer,2025-02-13T11:43:39.604Z
my love mine all mine,rhianne,2025-02-13T11:45:16.143Z
My Love Mine All Mine,Joseph Vincent,2025-02-13T11:46:38.522Z
mary poppins,Little Green,2025-02-13T11:49:02.613Z
What Was I Made For? - Felt Piano Version,Paul Hankinson Covers,2025-02-13T11:53:17.298Z
i wish u could love me too,rine,2025-02-13T11:58:23.308Z
